idiom,meaning
가꾸로 박히,머리 를 땅 으로 향하 ᆫ 채 떨어지
가난 들,가난 하 게 되
가난 이 들,가난 하 게 되
가난 이 파고들,더욱더 가난 하 아 지
가늠 보다,형편 이나 시세 따위 를 살피
가늠 을 보,형편 이나 시세 따위 를 살피
가늠 잡,형편 이나 시세 따위 를 살피
가늠 을 잡,형편 이나 시세 따위 를 살피
가늠 이 가,짐작 이나 헤아리 ᄆ 이 이루어지 거나 미치
가닥 을 잡,"분위기 , 상황 , 생각 따위 를 이치 나 논리 에 따르 아 바로잡"
가닥 이 잡히,"분위기 , 상황 , 생각 따위 를 이치 나 논리 에 따르 아 바로잡 게 하"
가 도 오 도 못하,한 곳 에서 자리 를 옮기 거나 움직이 ᆯ 수 없 는 상태 가 되
가락 떼,흥 이 나 는 일 에 첫 동작 을 실행 하
가락 을 떼,흥 이 나 는 일 에 첫 동작 을 실행 하
가락 나,일 하 는 기운 이나 능률 이 오르
가락 이 나,일 하 는 기운 이나 능률 이 오르
가락 맞,행동 이 서로 잘 들어맞
가락 이 맞,행동 이 서로 잘 들어맞
가락 을 내,"윷 놀이 를 하 ᆯ 때 , 윷 가락 을 잘 던지 어서 원 하 는 대로 엎 기 도 하 고 잦히 기 도 하 ᆫ다"
가락 을 받,남 의 소리 나 노래 의 뒤 를 이 어 부르
가랑 이 찢어지,하 는 일 이 힘 에 부치 거나 일 손 이 부족 하 여 일 하 아 나가 기 가 몹시 벅차
가랑 이 째지,하 는 일 이 힘 에 부치 거나 일 손 이 부족 하 여 일 하 아 나가 기 가 몹시 벅차
가랑이 가 찢어지,하 는 일 이 힘 에 부치 거나 일 손 이 부족 하 여 일 하 아 나가 기 가 몹시 벅차
가랑이 가 째지,하 는 일 이 힘 에 부치 거나 일 손 이 부족 하 여 일 하 아 나가 기 가 몹시 벅차
가렵 ᆫ 곳 을 긁 어 주,남 에게 꼭 필요 하 ᆫ 것 을 잘 알 아서 그 욕구 를 시원 스럽 게 만족 시키 어 주
가렵 ᆫ 데 를 긁 어 주,남 에게 꼭 필요 하 ᆫ 것 을 잘 알 아서 그 욕구 를 시원 스럽 게 만족 시키 어 주
가렵 ᆫ 곳 을 긁 어 주,남 에게 꼭 필요 하 ᆫ 것 을 잘 알 아서 그 욕구 를 시원 스럽 게 만족 시키 어 주
가로 뛰 고 세로 뛰,감정 이 북받치 어 이리저리 날뛰
가로 지나 아 세 로 지,이렇게 되 든지 저렇게 되
가리 틀,잘 되 어 가 는 일 을 안 되 도록 방해 하
가리 를 틀,잘 되 어 가 는 일 을 안 되 도록 방해 하
가마 를 태우,그렇 ᆯ 듯 하 게 추어올리 어 얼렁뚱땅 넘어가 거나 속이 어 넘기
가 면 벗,거짓 으로 꾸미 ᆫ 모습 을 버리 고 정체 를 드러내
가면 을 벗,거짓 으로 꾸미 ᆫ 모습 을 버리 고 정체 를 드러내
가 면 쓰,본심 을 감추 고 겉 으로 는 그렇 지 않 은 것 처럼 꾸미
가면 을 쓰,본심 을 감추 고 겉 으로 는 그렇 지 않 은 것 처럼 꾸미
가면 을 벗기,거짓 으로 꾸미 ᆫ 정체 를 밝히
가문 을 흐리,가문 의 명예 를 더럽히
가방 끈 길,많이 배우 어 학력 이 높
가방 끈 이 길,많이 배우 어 학력 이 높
가방 끈 짧,많이 배우 지 못하 아 학력 이 낮
가방 끈 이 짧,많이 배우 지 못하 아 학력 이 낮
가살 빼,거만 하 게 가살 스럽 ᆫ 태도 를 짓
가살 을 빼,거만 하 게 가살 스럽 ᆫ 태도 를 짓
가살 쓰,정신없 고 부산 스럽 ᆫ 행동 을 하
가살 을 쓰,정신없 고 부산 스럽 ᆫ 행동 을 하
가슴 앓,안 달하 여 마음 의 고통 을 느끼
가슴 을 앓,안 달하 여 마음 의 고통 을 느끼
가슴 저미,생각 이나 느낌 이 매우 심각 하 고 간절 하 여 가슴 을 칼 로 베 는 듯 하 ᆫ 아픔 을 느끼 게 하
가슴 을 저미,생각 이나 느낌 이 매우 심각 하 고 간절 하 여 가슴 을 칼 로 베 는 듯 하 ᆫ 아픔 을 느끼 게 하
가슴 치,마음 에 크 ᆫ 충격 을 받
가슴 을 치,마음 에 크 ᆫ 충격 을 받
가슴 태우,몹시 애태우
가슴 을 태우,몹시 애태우
가슴 펴,굽히 ᆯ 것 없이 당당 하
가슴 을 펴,굽히 ᆯ 것 없이 당당 하
가슴 에 멍 이 들,마음 속 에 쓰라리 ᆫ 고통 과 모질 ᆫ 슬픔 이 지우 ᆯ 수 없이 맺히
가슴 에 멍 이 지,마음 속 에 쓰라리 ᆫ 고통 과 모질 ᆫ 슬픔 이 지우 ᆯ 수 없이 맺히
가슴 에 불붙,감정 이 격하 아 지
가슴 에 새기,잊 지 않 게 단단히 마음 에 기억 하
가슴 에 손 을 얹,양심 에 근거 를 두
가슴 에 칼 을 품,모질 ᆫ 마음 을 먹 거나 흉악 하 ᆫ 생각 을 하
가슴 에 피 멍 들,마음 속 에 쓰라리 ᆫ 고통 과 모질 ᆫ 슬픔 이 지우 ᆯ 수 없이 맺히
가슴 에 피 멍 이 들,마음 속 에 쓰라리 ᆫ 고통 과 모질 ᆫ 슬픔 이 지우 ᆯ 수 없이 맺히
가슴 을 도리 어 내,마음 을 아프 게 하
가슴 을 뒤흔들,마음 을 들뜨 게 하 거나 설레 게 하
가슴 을 불태우,어떤 의 욕 이나 기세 가 몹시 끓어오르 ᆫ 상태 에서 활동 하
가슴 을 열,속 마음 을 털어놓 거나 받아들이
가슴 을 짓찧,마음 에 몹시 심하 ᆫ 고통 을 받
가슴 을 찢,슬픔 이나 분하 ᄆ 때문 에 가슴 이 째지 는 듯 하 ᆫ 고통 을 주
가슴 을 헤치 어 놓,마음 속 의 생각 이나 말 을 거리낌 없이 그대로 다 털어놓
가슴 이 찔리,심하 ᆫ 양심 의 가책 을 받
가슴 에 찔리,심하 ᆫ 양심 의 가책 을 받
가슴 이 넓,이해심 이 많
가슴 이 두방망이 질 하,가슴 이 몹시 세차 게 두근거리
가슴 이 뜨겁,깊 고 크 ᆫ 사랑 과 배려 를 받 아 고마움 으로 마음 의 감동 이 크
가슴 이 뜨끔 하,자극 을 받 아 마음 이 깜짝 놀라 거나 양심 의 가책 을 받
가슴 이 막히,크 ᆫ 기쁨 이나 감격 으로 마음 속 이 꽉 차
가슴 이 무겁,슬픔 이나 걱정 으로 마음 이 가라앉
가슴 이 무너지 어 내리,심하 ᆫ 충격 을 받 아 마음 을 다 잡 기 힘들 게 되
가슴 이 미어지,마음 이 슬픔 이나 고통 으로 가득 차 견디 기 힘들 게 되
가슴 이 방망이 질 하,심장 이 몹시 두근거리
가슴 이 서늘 하,두려움 으로 마음 속 에 차 ᆫ 바람 이 이 는 것 같
가슴 이 숯 등걸 이 되,애 가 타 서 마음 이 상하 ᆯ 대로 상하
가슴 이 아리,몹시 가엾 거나 측은 하 여 마음 이 알알 하 게 찌르 는 것 처럼 아프
가슴 이 좁,이해심 이 없
가슴 이 찢어지,슬픔 이나 분하 ᄆ 때문 에 가슴 이 째지 는 듯 하 ᆫ 고통 을 받
가슴 이 콩 알 만 하,불안 하 고 초조 하 여 마음 을 펴 지 못하 고 있
가슴 이 콩 알 만 하 아 지,불안 하 고 초조 하 여 마음 을 펴 지 못하 고 있
가슴 이 타,마음 속 으로 고민 하 여 가슴 이 뜨거워지 는 것 같
가슴 이 트이,마음 속 에 맺히 ᆫ 것 이 풀리 어 환하 아 지
가시 돋 아시,공격 의 의도 나 불평 불만 이 있
가시 가 돋 아시,공격 의 의도 나 불평 불만 이 있
가시 돋치,공격 의 의도 나 불평 불만 이 있
가시 가 돋치,공격 의 의도 나 불평 불만 이 있
가시 박히,말 속 에 악의 가 있
가시 가 박히,말 속 에 악의 가 있
가시 세,앙칼지 고 고집 이 세
가시 가 세,앙칼지 고 고집 이 세
가시 먹 은 것 같,남 에게서 받 거나 얻어먹 은 것 이 마음 에 걸리 어 꺼림칙 하
가시 밭 길 을 가,힘겹 고 험하 ᆫ 삶 을 살
가위 다리 치,서로 어 긋 매 끼 ㅓ 놓
가위 다리 를 치,서로 어 긋 매 끼 ㅓ 놓
가재 치,사 ㅏㅆ 던 물건 을 도로 무르
가재 를 치,사 ㅏㅆ 던 물건 을 도로 무르
가정 오랑캐 맞,매 를 몹시 맞
가죽 만 남,보 기 흉하 게 여위
가지 치,하나 의 근본 에서 딴 갈래 가 생기
가지 를 치,하나 의 근본 에서 딴 갈래 가 생기
가지 고 놀,사람 을 놀리 거나 멸시 하
각 뜨,"잡 은 짐승 을 머리 , 다리 따위 로 나누"
각 을 뜨,"잡 은 짐승 을 머리 , 다리 따위 로 나누"
간 바람 들,하 는 행동 이 실없
간 에 바람 들,하 는 행동 이 실없
간 불붙,몹시 울화 가 나
간 에 불붙,몹시 울화 가 나
간 빼 어 먹,겉 으로 는 비위 를 맞추 며 좋 게 대하 는 척하 면서 요긴 하 ᆫ 것 을 다 빼앗
간 을 빼 어 먹,겉 으로 는 비위 를 맞추 며 좋 게 대하 는 척하 면서 요긴 하 ᆫ 것 을 다 빼앗
간 졸이,매우 걱정 되 고 불안 스럽 어 마음 을 놓 지 못하
간 을 졸이,매우 걱정 되 고 불안 스럽 어 마음 을 놓 지 못하
간 뒤집히,까닭 없이 웃
간 이 뒤집히,까닭 없이 웃
간 떨어지,몹시 놀라
간 이 떨어지,몹시 놀라
간 마르,몹시 초조 하 거나 안타깝 어서 속 이 상하
간 이 마르,몹시 초조 하 거나 안타깝 어서 속 이 상하
간 붓,지나치 게 대담 하 아 지
